dob_mm,no_mmorb,dob_tt
January,Death,3772
January,Survival,273368
February,Death,3739
February,Survival,262661
March,Death,4290
March,Survival,298431
April,Death,4326
April,Survival,288955
May,Death,4355
May,Survival,296656
June,Death,4421
June,Survival,309151
July,Death,4638
July,Survival,321466
August,Death,4734
August,Survival,325205
September,Death,4540
September,Survival,320971
October,Death,4404
October,Survival,310322
November,Death,4329
November,Survival,297239
December,Death,4461
December,Survival,306482
